店鋪所在縣市,店鋪名稱,店鋪地址,店鋪電話
嘉義市,興業,嘉義市西區仁愛路300號,(05)2254776
嘉義市,興業西,嘉義市西區興業西路328號,(05)2351721
花蓮縣,花中,花蓮縣花蓮市中山路551號,(03)8321403
彰化縣,花壇,彰化縣花壇鄉中正路176號,(04)7870827
花蓮縣,花蓮,花蓮縣花蓮市中山路209號,(03)8338141
苗栗縣,苗栗,苗栗縣苗栗市光復路45巷1號,(037)330949
苗栗縣,苗農,苗栗縣苗栗市中正路336號,(037)373151
南投縣,草屯,南投縣草屯鎮太平路二段262號,(049)2357842
高雄市,草衙,高雄市前鎮區草衙二路393號,(07)8158503
新北市,莒光,新北市板橋區莒光路33號,(02)22504416
新北市,莒光2,新北市中和區莒光路127號,(02)22258909
雲林縣,莿桐,雲林縣莿桐鄉中山路80號,(05)5848720
台南市,華平,台南市安平區慶平路289號,(06)2930411
新北市,華新,新北市中和區華新街95號,(02)89416580
高雄市,華王,高雄市鹽埕區五福四路55號,(07)5328478
屏東縣,萬丹,屏東縣萬丹鄉萬丹路一段176號,(08)7760468
台北市,萬大,台北市萬華區萬大路497號,(02)23379982
桃園市,蘆中,桃園市蘆竹區中山路59號,(03)2121612
新北市,蘆洲,新北市蘆洲區長安街138號,(02)82813773
宜蘭縣,蘇澳,宜蘭縣蘇澳鎮中山路一段78號,(03)9955489
宜蘭縣,蘭城新,宜蘭縣宜蘭市民權路二段38巷6號,(03)9315867
雲林縣,虎尾,雲林縣虎尾鎮中正路141號,(05)6320734
新北市,裕民,新北市土城區裕民路52號,(02)22600176
高雄市,裕誠,高雄市左營區裕誠路413號,(07)5586550
台南市,裕農,台南市東區裕農路77號,(06)2081791
台北市,西園,台北市萬華區西園路一段198號,(02)23368451
台中市,西屯,台中市西屯區西屯路二段16-1號,(04)23176008
雲林縣,西螺,雲林縣西螺鎮中山路167號,(05)5862832
台北市,西門,台北市萬華區成都路15號,(02)23140833
桃園市,觀音,桃園市觀音區大觀路二段163號,(03)4836040
台中市,豐功,台中市豐原區成功路148號,(04)25120360
台中市,豐原,台中市豐原區中正路147號,(04)25254891
台南市,赤崁,台南市中西區成功路211號,(06)2201759
高雄市,路竹,高雄市路竹區大社路21號,(07)6964440
新北市,輔仁,新北市新莊區中正路516-2號,(02)29086821
台北市,農安,台北市中山區雙城街14號,(02)25991826
台北市,通化,台北市大安區信義路四段296號,(02)27050371
苗栗縣,通霄,苗栗縣通霄鎮中正路82號,(037)762612
台中市,逢甲,台中市西屯區福星路427號,(04)24510153
新北市,連城,新北市中和區連城路351號,(02)22266179
台北市,酒泉,台北市大同區酒泉街70號,(02)25973498
屏東縣,里港,屏東縣里港鄉中山路49號,(08)7751285
新北市,金城,新北市土城區金城路三段1號,(02)82601608
新北市,金山,新北市金山區中山路228號,(02)24081107
台南市,金華,台南市南區金華路二段87號,(06)2916797
金門縣,金門,金門縣金城鎮民生路35-2號,(082)325549
金門縣,金門2,金門縣金湖鎮中正路90號,(082)330282
苗栗縣,銅鑼,苗栗縣銅鑼鄉中正路120號,(037)980608
台北市,錦州,台北市中山區錦州街448號,(02)25015960
雲林縣,鎮北,雲林縣斗六市鎮北路115號,(05)5374029
新北市,長壽,新北市板橋區三民路二段97號,(02)29530701
台北市,長安東,台北市中山區長安東路二段77號,(02)25151757
桃園市,長庚,桃園市龜山區復興一路80號,(03)2114704
桃園市,長庚大,桃園市龜山區文化一路259號,(03)2118053
台北市,長春,台北市中山區長春路184號,(02)25048416
新北市,長榮,新北市蘆洲區長榮路25號,(02)22885788
台南市,開元,台南市北區開元路517號,(06)2091801
台南市,關廟,台南市關廟區中山路一段640號,(06)5965631
新竹市,關新,新竹市東區關新路77號,(03)5679651
新竹縣,關西,新竹縣關西鎮中興路14號,(03)5171871
新北市,陽明,新北市板橋區文化路一段280號,(02)22510986
新北市,集美,新北市三重區集美街103號,(02)29706861
新北市,雙十,新北市板橋區雙十路二段213號,(02)82528005
台北市,雙連,台北市中山區民生西路54號,(02)25224551
雲林縣,雲科,雲林縣斗六市中山路300-1號,(05)5344185
高雄市,青年,高雄市鳳山區青年路二段389號,(07)7776428
台中市,青海,台中市西屯區青海路一段174號,(04)23179269
彰化縣,靜修,彰化縣員林市靜修路52-19號,(04)8382621
台中市,靜宜,台中市沙鹿區台灣大道七段259號,(04)26329281
苗栗縣,頭份,苗栗縣頭份市中正路159號,(037)670441
宜蘭縣,頭城,宜蘭縣頭城鎮青雲路三段165號,(03)9777332
嘉義縣,頭橋,嘉義縣民雄鄉建國路三段136號,(05)2211330
台北市,館前,台北市中正區館前路18號,(02)23898169
新竹市,香山,新竹市香山區經國路三段31號,(03)5390155
高雄市,高明,高雄市三民區陽明路172號,(07)3802112
屏東縣,高樹,屏東縣高樹鄉南興路110號,(08)7961430
高雄市,鳳山,高雄市鳳山區中山路120-1號,(07)7450560
高雄市,鳳松,高雄市鳳山區經武路229號,(07)7198636
新北市,鶯歌,新北市鶯歌區建國路158號,(02)26774393
新北市,鷺江,新北市蘆洲區復興路132號,(02)82856961
屏東縣,鹽埔,屏東縣鹽埔鄉維新路109-2號,(08)7934580
台南市,鹽水,台南市鹽水區朝琴路41號,(06)6528506
彰化縣,鹿港,彰化縣鹿港鎮民族路99號,(04)7782896
雲林縣,麥寮,雲林縣麥寮鄉中興路42號,(05)6938520
台南市,麻豆,台南市麻豆區興中路96號,(06)5727914
台中市,黎新,台中市南屯區黎明路一段1010號,(04)23812910
台中市,黎明,台中市南屯區黎明路二段417號,(04)22519510
高雄市,鼎力,高雄市三民區鼎力路27號,(07)3108731
桃園市,龍岡,桃園市中壢區龍東路219號,(03)4360617
桃園市,龍昌,桃園市中壢區龍昌路180巷2號,(03)4562391
台北市,龍江,台北市中山區龍江路283號,(02)25162125
台北市,龍江二,台北市中山區龍江路356巷16號,(02)25012717
台北市,龍泉,台北市大安區師大路125號,(02)23683013
桃園市,龍潭,桃園市龍潭區中正路110號,(03)4800157
桃園市,龍興,桃園市龍潭區中興路279號,(03)4992837
桃園市,龍華,桃園市龜山區萬壽路一段298號,(02)82003973
桃園市,龜山,桃園市龜山區中興路431-2號,(03)3193068
